img_idx,p_psnr,p_ssim,p_tex,p_pdet,p_acc,p_n_ch,c_psnr,c_ssim,c_tex,c_pdet,c_acc,c_n_ch,su_psnr,su_ssim,su_tex,su_pdet,su_acc,su_n_ch,h_psnr,h_ssim,h_tex,h_pdet,h_acc,h_n_ch
3561,65.1096,0.999990,0.2651,0.0240,100.00,1314,65.1729,0.999874,0.0829,0.0713,100.00,1295,70.9553,0.999997,0.1996,0.0240,0.00,342,70.7933,0.999998,0.2295,0.0240,0.00,355
3640,65.1998,0.999987,0.2798,0.7620,100.00,1287,65.1295,0.999950,0.1239,0.7777,100.00,1308,71.3541,0.999996,0.2190,0.7618,0.00,312,70.8302,0.999997,0.2483,0.7618,0.00,352
3656,65.1295,0.999981,0.2402,0.1010,100.00,1308,65.2919,0.999839,0.0586,0.2240,100.00,1260,70.7568,0.999993,0.1584,0.1010,0.00,358,69.4561,0.999995,0.1750,0.1009,0.00,483
3660,65.1395,0.999985,0.2096,0.7551,100.00,1305,65.1362,0.999911,0.0678,0.7692,100.00,1306,71.1634,0.999994,0.1454,0.7555,0.00,326,70.6371,0.999994,0.1267,0.7555,0.00,368
3687,65.1328,0.999991,0.2670,0.1774,100.00,1307,65.1796,0.999873,0.0783,0.3066,100.00,1293,70.6019,0.999997,0.2024,0.1772,0.00,371,70.1151,0.999997,0.2151,0.1772,0.00,415
3758,65.0669,0.999942,0.1494,0.7377,100.00,1327,65.1395,0.999859,0.0545,0.7935,100.00,1305,70.9048,0.999983,0.1335,0.7323,0.00,346,69.9508,0.999985,0.1691,0.7323,0.00,431
3774,65.0866,0.999984,0.2576,0.8025,100.00,1321,65.1562,0.999940,0.1031,0.8117,100.00,1300,71.1501,0.999995,0.1969,0.8025,0.00,327,70.5553,0.999995,0.2113,0.8026,0.00,375
3825,65.2066,0.999995,0.3145,0.6491,100.00,1285,65.1998,0.999921,0.1042,0.6843,100.00,1287,71.0842,0.999998,0.1924,0.6491,0.00,332,69.9913,0.999998,0.1686,0.6492,0.00,427
3827,65.1629,0.999986,0.2154,0.7085,100.00,1298,65.0604,0.999906,0.0655,0.7276,100.00,1329,71.0842,0.999996,0.1768,0.7086,0.00,332,70.0219,0.999997,0.2013,0.7086,0.00,424
3830,65.3404,0.999993,0.2386,0.7777,100.00,1246,65.1428,0.999939,0.0998,0.7927,100.00,1304,71.6866,0.999998,0.1629,0.7777,0.00,289,71.0193,0.999997,0.1556,0.7775,0.00,337
3840,65.2405,0.999963,0.1306,0.8074,100.00,1275,65.1130,0.999853,0.0413,0.8367,100.00,1313,70.9553,0.999990,0.1309,0.8081,0.00,342,69.8120,0.999993,0.1591,0.8075,0.00,445
3985,65.0734,0.999993,0.2632,0.7484,100.00,1325,65.1931,0.999899,0.0844,0.7694,100.00,1289,71.5680,0.999998,0.1960,0.7482,0.00,297,70.7326,0.999998,0.1956,0.7482,0.00,360
3993,65.2167,0.999963,0.1479,0.6832,100.00,1282,65.0213,0.999877,0.0521,0.7286,100.00,1341,71.1768,0.999991,0.1444,0.6828,0.00,325,70.3961,0.999993,0.1709,0.6828,0.00,389
4111,65.3860,0.999943,0.0946,0.4249,100.00,1233,65.2885,0.999851,0.0301,0.5733,100.00,1261,70.1151,0.999991,0.1462,0.3884,0.00,415,69.1356,0.999993,0.1650,0.3857,0.00,520
4122,65.1528,0.999992,0.2524,0.7779,100.00,1301,65.2507,0.999948,0.1004,0.7937,100.00,1272,71.1768,0.999998,0.1776,0.7774,0.00,325,71.0452,0.999998,0.1811,0.7775,0.00,335
4212,65.2167,0.999989,0.2523,0.7620,100.00,1282,65.1495,0.999967,0.1098,0.7619,100.00,1302,71.6866,0.999996,0.1637,0.7620,0.00,289,71.2713,0.999996,0.1669,0.7619,0.00,318
4224,65.0932,0.999991,0.2719,0.0738,100.00,1319,65.2816,0.999891,0.1020,0.1791,100.00,1263,71.7319,0.999997,0.1854,0.0738,0.00,286,71.3402,0.999998,0.1919,0.0738,0.00,313
4252,65.2303,0.999871,0.0940,0.1435,100.00,1278,65.1796,0.999755,0.0250,0.2930,100.00,1293,70.6608,0.999977,0.1235,0.1180,0.00,366,69.4561,0.999982,0.1687,0.1170,0.00,483
4281,65.3230,0.999922,0.1791,0.7557,100.00,1251,65.1931,0.999836,0.0720,0.7975,100.00,1289,71.9499,0.999977,0.1169,0.7511,0.00,272,71.0322,0.999977,0.1366,0.7507,0.00,336
4324,65.0473,0.999965,0.2164,0.7167,100.00,1333,65.1931,0.999858,0.0690,0.7805,100.00,1289,71.1902,0.999990,0.1784,0.7146,0.00,324,70.1678,0.999991,0.2006,0.7146,0.00,410
4517,65.0767,0.999984,0.2301,0.7713,100.00,1324,65.1595,0.999943,0.0890,0.7725,100.00,1299,71.3125,0.999993,0.1206,0.7713,0.00,315,70.8549,0.999994,0.1235,0.7712,0.00,350
4525,65.2610,0.999969,0.1448,0.7837,100.00,1269,65.1495,0.999877,0.0451,0.8093,100.00,1302,70.9300,0.999987,0.0845,0.7831,0.00,344,69.5378,0.999986,0.0788,0.7826,0.00,474
4589,65.2713,0.999984,0.2498,0.0008,100.00,1266,65.1395,0.999804,0.0673,0.0062,100.00,1305,70.6727,0.999996,0.2387,0.0008,0.00,365,69.8710,0.999995,0.2468,0.0008,0.00,439
4827,65.1595,0.999985,0.2123,0.7910,100.00,1299,65.2100,0.999938,0.0768,0.7940,100.00,1284,71.2987,0.999994,0.1472,0.7915,0.00,316,70.2426,0.999995,0.1408,0.7913,0.00,403
4872,65.1662,0.999972,0.1499,0.2392,100.00,1297,65.3649,0.999844,0.0390,0.3933,100.00,1239,71.0581,0.999990,0.1316,0.2393,0.00,334,69.6304,0.999992,0.1654,0.2392,0.00,464
4976,65.1495,0.999988,0.2625,0.7778,100.00,1302,65.0636,0.999866,0.0656,0.7905,100.00,1328,70.6489,0.999995,0.2518,0.7780,0.00,367,69.6398,0.999997,0.2766,0.7780,0.00,463
5083,65.2100,0.999958,0.1737,0.6779,100.00,1284,65.1696,0.999855,0.0532,0.7399,100.00,1296,70.9808,0.999990,0.1629,0.6778,0.00,340,70.0015,0.999993,0.1939,0.6777,0.00,426
5181,65.1998,0.999941,0.1186,0.1205,100.00,1287,65.1931,0.999789,0.0296,0.2767,100.00,1289,69.8218,0.999985,0.1618,0.1007,0.00,444,68.6613,0.999990,0.2042,0.0995,0.00,580
5319,65.1796,0.999871,0.0819,0.0010,100.00,1293,65.1428,0.999722,0.0177,0.0088,100.00,1304,69.6304,0.999986,0.1625,0.0007,0.00,464,68.8841,0.999991,0.1910,0.0007,0.00,551
5351,65.2201,0.999957,0.1572,0.7051,100.00,1281,65.1262,0.999847,0.0467,0.7649,100.00,1309,70.7689,0.999985,0.1228,0.7027,0.00,357,69.6024,0.999987,0.1399,0.7020,0.00,467
5407,65.1130,0.999816,0.1823,0.0115,100.00,1313,65.1462,0.999726,0.0586,0.0428,100.00,1303,72.0305,0.999951,0.0979,0.0072,0.00,267,70.8056,0.999946,0.1415,0.0062,0.00,354
5435,65.1063,0.999893,0.1273,0.0168,100.00,1315,65.1030,0.999740,0.0338,0.0733,100.00,1316,71.5099,0.999975,0.1214,0.0134,0.00,301,70.2750,0.999980,0.1787,0.0126,0.00,400
