img_idx,p_psnr,p_ssim,p_tex,p_pdet,p_acc,p_n_ch,c_psnr,c_ssim,c_tex,c_pdet,c_acc,c_n_ch,su_psnr,su_ssim,su_tex,su_pdet,su_acc,su_n_ch,h_psnr,h_ssim,h_tex,h_pdet,h_acc,h_n_ch
7413,65.1163,0.999980,0.2698,0.1083,100.00,1312,65.1528,0.999819,0.0595,0.2477,100.00,1301,69.9508,0.999996,0.3381,0.1068,0.00,431,68.8215,0.999999,0.3502,0.1068,0.00,559
7623,65.1897,0.999990,0.2242,0.1935,100.00,1290,65.3719,0.999873,0.0570,0.3533,100.00,1237,70.2318,0.999995,0.1802,0.1923,0.00,404,69.6024,0.999997,0.1991,0.1922,0.00,467
7680,65.1196,0.999950,0.1240,0.2066,100.00,1311,65.2100,0.999816,0.0302,0.4167,100.00,1284,70.4636,0.999988,0.1430,0.1964,0.00,383,69.2114,0.999989,0.1557,0.1961,0.00,511
7730,65.0246,0.999995,0.2873,0.4228,100.00,1340,65.1629,0.999839,0.0722,0.5771,100.00,1298,70.7568,0.999999,0.2657,0.4227,0.00,358,70.4185,0.999999,0.2744,0.4226,0.00,387
7748,65.0964,0.999863,0.1155,0.0011,100.00,1318,65.1130,0.999735,0.0250,0.0069,100.00,1313,69.0040,0.999989,0.2938,0.0005,0.00,536,67.7344,0.999997,0.3589,0.0005,0.00,718
7756,65.2201,0.999890,0.1100,0.0127,100.00,1281,65.3579,0.999738,0.0269,0.0493,100.00,1241,71.9499,0.999974,0.0994,0.0090,0.00,272,69.9107,0.999972,0.1212,0.0085,0.00,435
7767,65.1096,0.999958,0.1708,0.1537,100.00,1314,65.0997,0.999798,0.0412,0.3517,100.00,1317,71.0452,0.999988,0.1347,0.1493,0.00,335,69.4382,0.999989,0.1445,0.1475,0.00,485
7771,65.2371,0.999868,0.0801,0.0004,100.00,1276,65.2303,0.999729,0.0178,0.0032,100.00,1278,71.2577,0.999973,0.1093,0.0002,0.00,319,69.4561,0.999980,0.1411,0.0002,0.00,483
7861,65.0408,0.999990,0.2750,0.6909,100.00,1335,65.2507,0.999931,0.0908,0.7107,100.00,1272,71.1634,0.999996,0.1677,0.6909,0.00,326,70.1997,0.999996,0.1701,0.6909,0.00,407
7894,65.1931,0.999795,0.0347,0.0064,100.00,1289,64.9987,0.999722,0.0120,0.0225,100.00,1348,72.1794,0.999955,0.0413,0.0025,0.00,258,70.5322,0.999952,0.0685,0.0022,0.00,377
7915,65.2066,0.999865,0.1083,0.0013,100.00,1285,65.3230,0.999741,0.0237,0.0062,100.00,1251,70.9681,0.999966,0.1740,0.0006,0.00,341,69.0693,0.999943,0.1670,0.0005,0.00,528
7983,65.2235,0.999983,0.1911,0.0391,100.00,1280,65.3023,0.999861,0.0568,0.0989,100.00,1257,70.9553,0.999994,0.1637,0.0392,0.00,342,70.1256,0.999995,0.1628,0.0391,0.00,414
8026,65.0964,0.999992,0.2949,0.7247,100.00,1318,65.2167,0.999952,0.1162,0.7351,100.00,1282,71.7624,0.999998,0.1928,0.7250,0.00,284,71.1369,0.999998,0.2072,0.7250,0.00,328
8047,65.1763,0.999964,0.1240,0.0600,100.00,1294,65.1964,0.999827,0.0349,0.1600,100.00,1288,70.6727,0.999988,0.1163,0.0592,0.00,365,69.7250,0.999991,0.1430,0.0591,0.00,454
8078,65.1562,0.999968,0.1478,0.4672,100.00,1300,65.1196,0.999857,0.0400,0.5983,100.00,1311,70.9553,0.999991,0.1452,0.4604,0.00,342,70.1678,0.999994,0.1537,0.4598,0.00,410
8101,65.2644,0.999982,0.2352,0.0048,100.00,1268,65.0767,0.999753,0.0462,0.0301,100.00,1324,70.3627,0.999995,0.2538,0.0048,0.00,392,69.6211,0.999997,0.2757,0.0048,0.00,465
8122,65.2235,0.999983,0.2467,0.8069,100.00,1280,65.1528,0.999929,0.1016,0.8071,100.00,1301,71.5680,0.999994,0.1725,0.8069,0.00,297,70.8056,0.999995,0.1953,0.8069,0.00,354
8221,65.1763,0.999963,0.1717,0.0098,100.00,1294,65.2405,0.999789,0.0391,0.0483,100.00,1275,70.3850,0.999990,0.1989,0.0095,0.00,390,69.1860,0.999993,0.2259,0.0095,0.00,514
8245,64.9538,0.999977,0.1707,0.6564,100.00,1362,65.1595,0.999924,0.0595,0.6862,100.00,1299,70.4410,0.999993,0.1427,0.6556,0.00,385,69.7731,0.999994,0.1610,0.6558,0.00,449
8257,65.1295,0.999796,0.1563,0.0001,100.00,1308,65.1196,0.999697,0.0417,0.0005,100.00,1311,72.0631,0.999945,0.0761,0.0000,0.00,265,69.4471,0.999901,0.0868,0.0000,0.00,484
8258,65.1562,0.999812,0.1730,0.0001,100.00,1300,65.1696,0.999705,0.0458,0.0008,100.00,1296,71.7931,0.999940,0.0782,0.0001,0.00,282,69.8023,0.999913,0.1010,0.0000,0.00,446
8278,65.2167,0.999837,0.0577,0.0273,100.00,1282,65.1130,0.999725,0.0142,0.0904,100.00,1313,70.1151,0.999979,0.1224,0.0205,0.00,415,68.8920,0.999984,0.1506,0.0198,0.00,550
8421,65.3161,0.999980,0.1673,0.7732,100.00,1253,65.1931,0.999896,0.0554,0.7826,100.00,1289,71.5099,0.999991,0.0989,0.7729,0.00,301,70.6253,0.999989,0.0857,0.7729,0.00,369
8441,65.1562,0.999994,0.3135,0.7480,100.00,1300,65.1662,0.999961,0.1423,0.7653,100.00,1297,71.1236,0.999998,0.2038,0.7482,0.00,329,70.0425,0.999998,0.2098,0.7481,0.00,422
8512,65.1931,0.999968,0.1603,0.2013,100.00,1289,65.2303,0.999801,0.0330,0.4056,100.00,1278,70.2642,0.999991,0.1923,0.1987,0.00,401,68.8684,0.999994,0.2027,0.1978,0.00,553
8524,65.3649,0.999985,0.1814,0.7602,100.00,1239,65.3161,0.999907,0.0560,0.7698,100.00,1253,71.2577,0.999995,0.1370,0.7605,0.00,319,70.2533,0.999996,0.1535,0.7603,0.00,402
8558,65.2100,0.999981,0.2426,0.1008,100.00,1284,65.1528,0.999812,0.0606,0.2294,100.00,1301,70.5322,0.999994,0.2234,0.1007,0.00,377,70.2103,0.999995,0.2331,0.1008,0.00,406
8617,65.1229,0.999992,0.2396,0.8045,100.00,1310,64.9987,0.999935,0.0963,0.8144,100.00,1348,71.2577,0.999997,0.1742,0.8045,0.00,319,70.9681,0.999998,0.1773,0.8045,0.00,341
8672,65.1998,0.999984,0.1652,0.2163,100.00,1287,65.1931,0.999857,0.0510,0.3501,100.00,1289,71.1768,0.999994,0.1214,0.2163,0.00,325,70.9174,0.999995,0.1360,0.2163,0.00,345
8681,65.2133,0.999989,0.2349,0.4887,100.00,1283,65.1229,0.999908,0.0829,0.5749,100.00,1310,71.2850,0.999996,0.1583,0.4886,0.00,317,70.9427,0.999996,0.1208,0.4886,0.00,343
8684,65.1729,0.999839,0.0655,0.2162,100.00,1295,65.1796,0.999719,0.0167,0.3983,100.00,1293,71.1236,0.999966,0.0714,0.1699,0.00,329,70.5553,0.999963,0.0703,0.1655,0.00,375
8685,65.0997,0.999940,0.1332,0.6424,100.00,1317,65.0800,0.999790,0.0403,0.7381,100.00,1323,71.7777,0.999988,0.1112,0.6381,0.00,283,70.5902,0.999988,0.1125,0.6382,0.00,372
8697,65.0440,0.999993,0.2808,0.5118,100.00,1334,65.1528,0.999886,0.0845,0.6200,100.00,1301,71.0452,0.999997,0.2007,0.5118,0.00,335,70.6019,0.999998,0.2064,0.5119,0.00,371
8717,65.1897,0.999988,0.2408,0.5238,100.00,1290,65.1897,0.999902,0.0793,0.6006,100.00,1290,71.5534,0.999996,0.1749,0.5243,0.00,298,70.8302,0.999995,0.1504,0.5243,0.00,352
8720,65.1262,0.999963,0.1813,0.0104,100.00,1309,65.2953,0.999790,0.0430,0.0442,100.00,1259,70.1997,0.999991,0.1722,0.0104,0.00,407,68.8527,0.999994,0.1930,0.0104,0.00,555
8912,65.3439,0.999941,0.0936,0.0891,100.00,1245,65.1362,0.999775,0.0211,0.2295,100.00,1306,70.2750,0.999990,0.1324,0.0663,0.00,400,69.6211,0.999992,0.1409,0.0661,0.00,465
8939,65.1528,0.999995,0.2961,0.6956,100.00,1301,65.3092,0.999979,0.1169,0.6998,100.00,1255,70.6136,0.999998,0.2493,0.6957,0.00,370,69.4114,0.999998,0.2420,0.6958,0.00,488
8941,65.1030,0.999988,0.2322,0.4250,100.00,1316,64.8842,0.999902,0.0846,0.5534,100.00,1384,71.6121,0.999997,0.1801,0.4254,0.00,294,71.3263,0.999997,0.1921,0.4252,0.00,314
8967,64.9316,0.999985,0.1985,0.6555,100.00,1369,65.1495,0.999860,0.0512,0.7327,100.00,1302,70.6608,0.999996,0.1935,0.6557,0.00,366,69.9107,0.999997,0.2011,0.6557,0.00,435
